id,login,name,avatar,role,githubID
nqYkxAGMnzk7Y5STjZryV,arv,Erik Arvidsson,https://avatars.githubusercontent.com/u/45845?v=4,crew,45845
ieK09sy2C_AIWE8KRkrQR,darkgnotic,Darick Tong,https://avatars.githubusercontent.com/u/132324914?v=4,crew,132324914
pFCse65icLsHqrf1TJMuV,linear[bot],linear[bot],https://avatars.githubusercontent.com/in/20150?v=4,user,44709815
tDY6IbKdVqbBlRBc3XMwF,tantaman,Matt Wonlaw,https://avatars.githubusercontent.com/u/1009003?v=4,crew,1009003
OeVnr1y5bEM_Yg06sUFtD,aboodman,Aaron Boodman,https://avatars.githubusercontent.com/u/80388?v=4,crew,80388
pgyTvcxh2hjmq2l4WKzK6,cesara,Cesar Alaestante,https://avatars.githubusercontent.com/u/807848?v=4,crew,807848
Gg4MskWt3M-ttzzlrJ9jn,grgbkr,Greg Baker,https://avatars.githubusercontent.com/u/19158916?v=4,crew,19158916
_4MJeHV4T-qZb52fyNwQ9,jesseditson,Jesse Ditson,https://avatars.githubusercontent.com/u/370239?v=4,user,370239
yJ5hiysWE-LBcDfT44lR8,phritz,Phritz,https://avatars.githubusercontent.com/u/157153?v=4,user,157153
jpRvILZ1tibPsQXKvb3cF,ingar,Ingar Shu,https://avatars.githubusercontent.com/u/85998?v=4,user,85998
vxBeM-NB6tEvoQuhMhFJ9,jamischarles,Jamis Charles,https://avatars.githubusercontent.com/u/606014?v=4,user,606014
FPEhfZQwiEMgpk3WnEY72,pcorpet,Pascal Corpet,https://avatars.githubusercontent.com/u/7937848?v=4,user,7937848
9Fw3n6EQS8mzE126AFJxb,KeKs0r,Marc Höffl,https://avatars.githubusercontent.com/u/2970814?v=4,user,2970814
