id,issueID,created,body,creatorID
Kec_-qIVi1mnXy82tKGhT,y8cMnHKAiOfdv7P4gCFXn,1726270936000.0,"```sql
SELECT application_name, query FROM pg_stat_activity
```

looks reasonable, and is under the `max_connections` limit of 100.

<img width=""1282"" alt=""Screenshot 2024-09-13 at 16 38 50"" src=""https://github.com/user-attachments/assets/2671640f-695f-4168-bf87-c540d475f760"">
",ieK09sy2C_AIWE8KRkrQR
4GhA9f2XpQlXGoyGfwZyg,AWj8hMrcbwFLPAXUWSZ1m,1726195253000.0,"Fuller logs:

```
worker=syncer pid=38000 Initial snapshot at version 62oupsxs
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection initConnection {""desiredQueriesPatch"":[{""op"":""put"",""hash"":""1e0n4ppfygy4o"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""modified"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""11nt7amu58bv0"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""created"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""2spa7ygo3r0xx"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""priority"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""1sc79sfpqd36w"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""status"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""215shknp2leti"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""comment"",""alias"":""comments"",""related"":[{""correlation"":{""parentField"":""creatorID"",""childField"":""id"",""op"":""=""},""subquery"":{""table"":""member"",""alias"":""creator"",""orderBy"":[[""id"",""asc""]]}}],""limit"":10,""orderBy"":[[""id"",""asc""]]}},{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":500,""orderBy"":[[""modified"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""3u6wkjf2cegfa"",""ast"":{""table"":""member"",""where"":[{""type"":""simple"",""op"":""="",""field"":""name"",""value"":""amos""}],""orderBy"":[[""id"",""asc""]]}}]}
worker=syncer pid=38000 loaded CVR @00 (25 ms)
worker=syncer pid=38000 62oupsxs => 62oupsxs: 0 changes
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i CVR (00) is behind db 62oupsxs
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 sent 0 row patches
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection applying 6 query patches
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i {""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
worker=syncer pid=38000 closed database connections
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q client closed with error {""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i view-syncer stopped

/// Culprit here ///

worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection flushed CVR {""instances"":3,""queries"":7,""desires"":6,""clients"":1,""rows"":0,""statements"":17} in (50 ms)
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i no more clients. starting idle timer
worker=syncer pid=38000 connection clientID=5s255ctth1l5589rh9 clientGroupID=0mrtpo7idt0o3d5a6i wsID=R9Bla78BvUTK5Qr9ksQ-q errorKind=Internal Sending error on WebSocket [""error"",""Internal"",""Error: CVR@00\"" does not match DB@62oupsxs""] {""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
worker=syncer pid=38000 connection clientID=5s255ctth1l5589rh9 clientGroupID=0mrtpo7idt0o3d5a6i wsID=R9Bla78BvUTK5Qr9ksQ-q close
worker=dispatcher pid=37984 received request 127.0.0.1:3000 /api/canary/v0/get?id=rWUdcmHCuGD6dDV5I2rGP
```

I think we're somehow missing the await for the initial flush.  @grgbkr 
",ieK09sy2C_AIWE8KRkrQR
tZ51xfpXnSWgv2JEpF8k3,AWj8hMrcbwFLPAXUWSZ1m,1726195544000.0,"Some promising leads with more logs:

```
worker=dispatcher pid=37984 connecting 0mrtpo7idt0o3d5a6i to syncer 13
worker=syncer pid=38000 Initial snapshot at version 62oupsxs
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection initConnection {""desiredQueriesPatch"":[{""op"":""put"",""hash"":""1e0n4ppfygy4o"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""modified"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""11nt7amu58bv0"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""created"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""2spa7ygo3r0xx"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""priority"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""1sc79sfpqd36w"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":1000,""orderBy"":[[""status"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""215shknp2leti"",""ast"":{""table"":""issue"",""related"":[{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""comment"",""alias"":""comments"",""related"":[{""correlation"":{""parentField"":""creatorID"",""childField"":""id"",""op"":""=""},""subquery"":{""table"":""member"",""alias"":""creator"",""orderBy"":[[""id"",""asc""]]}}],""limit"":10,""orderBy"":[[""id"",""asc""]]}},{""correlation"":{""parentField"":""id"",""childField"":""issueID"",""op"":""=""},""subquery"":{""table"":""issueLabel"",""alias"":""labels"",""related"":[{""correlation"":{""parentField"":""labelID"",""childField"":""id"",""op"":""=""},""hidden"":true,""subquery"":{""table"":""label"",""alias"":""labels"",""orderBy"":[[""id"",""asc""]]}}],""orderBy"":[[""id"",""asc""]]}}],""limit"":500,""orderBy"":[[""modified"",""desc""],[""id"",""asc""]]}},{""op"":""put"",""hash"":""3u6wkjf2cegfa"",""ast"":{""table"":""member"",""where"":[{""type"":""simple"",""op"":""="",""field"":""name"",""value"":""amos""}],""orderBy"":[[""id"",""asc""]]}}]}
worker=syncer pid=38000 loaded CVR @00 (25 ms)
worker=syncer pid=38000 62oupsxs => 62oupsxs: 0 changes
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i CVR (00) is behind db 62oupsxs
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 sent 0 row patches
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection applying 6 query patches

worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i 
{""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",
""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n
    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n
    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n
    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n
    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n
    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n
    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}

worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i {""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
worker=syncer pid=38000 closed database connections
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q client closed with error {""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i view-syncer stopped
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection flushed CVR {""instances"":3,""queries"":7,""desires"":6,""clients"":1,""rows"":0,""statements"":17} in (50 ms)
```

Looks like there are two things going on; the initial hydration and the initConnection, and somehow the locking isn't working the way we expect.",ieK09sy2C_AIWE8KRkrQR
Yb7_mpOhw8oWo180IIUeP,AWj8hMrcbwFLPAXUWSZ1m,1726196048000.0,"Okay, I think the assert is just wrong. If the CVR is empty, there will be no queries to add or remove, and so we won't write CVR. I'll fix the assert.",ieK09sy2C_AIWE8KRkrQR
8sBU-F6lypLygo-xk7tYI,A_5GErKdgkngmbFRyygQp,1726189802000.0,"Here's a proposed schema and algorithm.

Add a new column to the change table:

```sql
CREATE TABLE ""cdc.ChangeDB"" (
  ""commitWatermark"" TEXT,
  ""watermark"" TEXT,
  ""change"" JSONB,
  PRIMARY KEY (""commitWatermark"", ""watermark"")
);
```

For normal, non-streaming replication messages, we actually know the commit watermark when we receive the `begin` message, so we can write the all columns as the messages arrive.

To add support for streaming in-progress transactions, or other CDC protocols where the commit watermark is not known at begin time, we can write a placeholder in for the commitWatermark (derived from a constant larger than the largest LSN, like `2^64 + 1`) while the transaction is pending, and then when the final commit is known, update all rows to replace that constant with the final commit.

Finally, we also have to propagate this down to the client so that watermarks look like ""commitWatermark/watermark"" so that the subscriber can properly do watermark based filtering. This will make in-progress transactions a bit trickier. Perhaps we shouldn't do forward-time filtering based on watermarks.  🤔 ",ieK09sy2C_AIWE8KRkrQR
MT6dy-cZdE9atwW9kdFyX,azP-Z7eh40PAVtIliJ-12,1715878457000.0,"Republishing unb0rks things, but they get reb0rked fairly quickly. A different error this time:

<img width=""2503"" alt=""Screenshot 2024-05-16 at 09 53 16"" src=""https://github.com/rocicorp/mono/assets/132324914/a4d60d4b-b2d6-4bf8-9a4b-f34c88ab3e6d"">

I suspect that we can only hold these transactions open for a certain time. Probably a knob in there somewhere.",ieK09sy2C_AIWE8KRkrQR
87lPZYMywqZnp6WAtoDCt,azP-Z7eh40PAVtIliJ-12,1715878795000.0,"`show idle_in_transaction_session_timeout;` says ""1d"", although I'm seeing the timeout happen before 5 minutes.",ieK09sy2C_AIWE8KRkrQR
k_DOlIhiOWyXKEOzLudTQ,azP-Z7eh40PAVtIliJ-12,1715885392000.0,"Data point: The connection seems to close fairly consistently after 4:30 minutes of inactivity.

<img width=""1381"" alt=""Screenshot 2024-05-16 at 11 48 32"" src=""https://github.com/rocicorp/mono/assets/132324914/40b4ba9e-08e1-4b8f-bda0-694a57307976"">
",ieK09sy2C_AIWE8KRkrQR
EYc8xm7ZDt3LaI3GtnvXb,EXpLtXkeB--ideoLqoopz,1715676224000.0,"<details>
<summary><a href=""https://linear.app/roci/issue/ROC-12/zeppliear-exception-because-issue-missing-properties"">ROC-12 Zeppliear: Exception because issue missing properties</a></summary>
<p>

To reproduce scroll down in Zeppliear.

[image](https://uploads.linear.app/be6d9e3c-d622-4339-b3a8-6f0d9478e889/674469ce-9dce-413c-a264-eaa5d8f8fd95/ce3d7065-a488-44ef-8731-176a21558894)

`row` is

```
{
    ""id"": ""_0kcprVNTV"",
    ""issue"": {
        ""id"": ""_0kcprVNTV"",
        ""kanbanOrder"": ""0""
    },
    ""labels"": []
}
```

but the type of `row` is supposed to be `{issue: Issue; labels: string[]};`
</p>
</details>",pFCse65icLsHqrf1TJMuV
K8JrbR7vjnwFkMuA0fAbN,EXpLtXkeB--ideoLqoopz,1715677032000.0,"This comes from

https://github.com/rocicorp/mono/blob/a221bec5b5e6dc9e675c1ad743c39dd7113f9bdd/apps/zeppliear/frontend/app.tsx#L129

and `filteredAndOrderedQuery` comes from:

https://github.com/rocicorp/mono/blob/a221bec5b5e6dc9e675c1ad743c39dd7113f9bdd/apps/zeppliear/frontend/app.tsx#L405-L418

so it is not clear yet why the `title` is not present",nqYkxAGMnzk7Y5STjZryV
