id,shortID,title,open,modified,created,creatorID,description,labelIDs
HdpMkgbHpK3_OcOIiQOuW,2383,Leaking listeners on AbortSignal,True,1726473766000.0,1726473756000.0,nqYkxAGMnzk7Y5STjZryV,"Node.js is complaining about 

![image](https://github.com/user-attachments/assets/fabb10ce-e684-4e9a-bb02-e36f77dc0c93)

```
• [ssg] http://127.0.0.1:5173/ resolved to ./(feed)/index.tsx
(node:55167) MaxListenersExceededWarning: Possible EventTarget memory leak detected. 11 abort listeners added to [AbortSignal]. Use events
•setMaxListeners() to increase limit
at [kNewListener] (node:internal/event_target:572:17)
at [kNewListener] (node: internal/abort_controller:241:24)
at EventTarget.addEventListener (node: internal/event_target:685:23) at eval (/Users/n8/github/mono/packages/shared/src/sleep.ts: 25:14)
at new Promise (<anonymous>)
at abortedPromise (/Users/n8/github/mono/packages/shared/src/sleep.ts:19:10)
at throttle (/Users/n8/github/mono/packages/replicache/src/process-scheduler.ts:99:11)
at ProcessScheduler.scheduleInternal (/Users/n8/github/mono/packages/replicache/src/process-scheduler.ts:80:29)
```

It seems like we most likely are not using `{once: true}` for an `addEventListener` somewhere... Or that the version of Node that this is coming from does not support `once`?",
y8cMnHKAiOfdv7P4gCFXn,2372,"Postgres (CVR_DB) sometimes gets wedged with ""too many clients already"" error",False,1726276413000.0,1726269542000.0,ieK09sy2C_AIWE8KRkrQR,"Peculiarly, the ChangeDB stub (which is pointed to the same database) works. And so does the Mutagen stub (which is to upstream). But it's invariably the CVR_DB that gets wedged.

```
worker=replicator pid=82812 component=change-source started replication stream at 0/57453261 (5o7pvfl)
worker=#1 pid=82812 watermark=5o7pvfm started worker
worker=#1 pid=82812 watermark=5o7pvfm worker done
worker=#1 pid=82812 watermark=5o7pvfm Executed statement (16 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7pvfm Executed statement (16 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7pvfm Executed statement (17 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7pvfm Executed statement (18 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=replicator pid=82812 watermark=5o7pvfm transaction pool done
worker=#1 pid=82812 watermark=5o7qmqx started worker
worker=#1 pid=82812 watermark=5o7qmqx worker done
worker=#1 pid=82812 watermark=5o7qmqx Executed statement (8 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7qmqx Executed statement (7 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7qmqx Executed statement (11 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=#1 pid=82812 watermark=5o7qmqx Executed statement (13 ms) [""INSERT INTO cdc.\""ChangeLog\"" "","" ON CONFLICT DO NOTHING""]
worker=replicator pid=82812 watermark=5o7qmqx transaction pool done
...
worker=dispatcher pid=82810 all workers ready (4883 ms)
worker=dispatcher pid=82810 Server listening at http://[::1]:3000
worker=dispatcher pid=82810 connecting ith0ponqs4n5aaa2k1 to syncer 5
worker=syncer pid=82818 Initial snapshot at version 62oupsxs
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=1 processMutation Process mutation start {""type"":""crud"",""id"":1,""clientID"":""9s0bjks0s9u2sh4g73"",""name"":""_zero_crud"",""timestamp"":1726339644284,""args"":[{""ops"":[{""op"":""update"",""entityType"":""issue"",""id"":{""id"":""4pQVnTwnc7_dup6""},""partialValue"":{""id"":""4pQVnTwnc7_dup6"",""status"":3,""modified"":5039707750405}}]}]}
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=2 processMutation Process mutation start {""type"":""crud"",""id"":2,""clientID"":""9s0bjks0s9u2sh4g73"",""name"":""_zero_crud"",""timestamp"":1726339646439,""args"":[{""ops"":[{""op"":""update"",""entityType"":""issue"",""id"":{""id"":""6X80NWiWy4_dup6""},""partialValue"":{""id"":""6X80NWiWy4_dup6"",""status"":4,""modified"":5039707752561}}]}]}
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=3 processMutation Process mutation start {""type"":""crud"",""id"":3,""clientID"":""9s0bjks0s9u2sh4g73"",""name"":""_zero_crud"",""timestamp"":1726339669586,""args"":[{""ops"":[{""op"":""update"",""entityType"":""issue"",""id"":{""id"":""4S-SqnpyTT_dup6""},""partialValue"":{""id"":""4S-SqnpyTT_dup6"",""status"":2,""modified"":5039707775708}}]}]}
...
worker=syncer pid=82818 component=view-syncer serviceID=ith0ponqs4n5aaa2k1 {""name"":""PostgresError"",""message"":""sorry, too many clients already"",
""stack"":""PostgresError: sorry, too many clients already\n
    at ErrorResponse (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:788:26)\n
    at handle (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:474:6)\n
    at Socket.data (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:315:9)\n
    at Socket.emit (node:events:513:28)\n    at Socket.emit (node:domain:489:12)\n
    at addChunk (node:internal/streams/readable:324:12)\n
    at readableAddChunk (node:internal/streams/readable:297:9)\n
    at Socket.Readable.push (node:internal/streams/readable:234:10)\n
    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)""}
worker=syncer pid=82818 closed database connections
worker=syncer pid=82818 component=view-syncer serviceID=ith0ponqs4n5aaa2k1 view-syncer stopped
worker=syncer pid=82818 component=view-syncer serviceID=ith0ponqs4n5aaa2k1 clientID=k8372iknd8b3c52dag wsID=nojamv6FjpFWP_LByHK23 cmd=initConnection closing connection with error {""name"":""PostgresError"",""message"":""sorry, too many clients already"",""stack"":""PostgresError: sorry, too many clients already\n    at ErrorResponse (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:788:26)\n    at handle (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:474:6)\n    at Socket.data (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:315:9)\n    at Socket.emit (node:events:513:28)\n    at Socket.emit (node:domain:489:12)\n    at addChunk (node:internal/streams/readable:324:12)\n    at readableAddChunk (node:internal/streams/readable:297:9)\n    at Socket.Readable.push (node:internal/streams/readable:234:10)\n    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)""}
worker=syncer pid=82818 connection clientID=k8372iknd8b3c52dag clientGroupID=ith0ponqs4n5aaa2k1 wsID=nojamv6FjpFWP_LByHK23 errorKind=Internal Sending error on WebSocket [""error"",""Internal"",""PostgresError: sorry, too many clients already""] {""name"":""PostgresError"",""message"":""sorry, too many clients already"",""stack"":""PostgresError: sorry, too many clients already\n    at ErrorResponse (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:788:26)\n    at handle (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:474:6)\n    at Socket.data (file:///Users/ocean/roci/mono/node_modules/postgres/src/connection.js:315:9)\n    at Socket.emit (node:events:513:28)\n    at Socket.emit (node:domain:489:12)\n    at addChunk (node:internal/streams/readable:324:12)\n    at readableAddChunk (node:internal/streams/readable:297:9)\n    at Socket.Readable.push (node:internal/streams/readable:234:10)\n    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)""}
worker=syncer pid=82818 connection clientID=k8372iknd8b3c52dag clientGroupID=ith0ponqs4n5aaa2k1 wsID=nojamv6FjpFWP_LByHK23 close
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=2 processMutation Ignoring mutation from 9s0bjks0s9u2sh4g73 with ID 2 as it was already processed. Expected: 4
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=2 processMutation Process mutation complete in 20
worker=dispatcher pid=82810 received request 127.0.0.1:3000 /api/canary/v0/get?id=P4zVqN9Grgum31U2uw4hY
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=3 processMutation Ignoring mutation from 9s0bjks0s9u2sh4g73 with ID 3 as it was already processed. Expected: 4
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=3 processMutation Process mutation complete in 21
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=1 processMutation Ignoring mutation from 9s0bjks0s9u2sh4g73 with ID 1 as it was already processed. Expected: 4
worker=syncer pid=82818 component=Mutagen serviceID=ith0ponqs4n5aaa2k1 mutationID=1 processMutation Process mutation complete in 24
```

I also get the error when attempting to inspect the DB sessions locally:

<img width=""839"" alt=""Screenshot 2024-09-13 at 16 08 10"" src=""https://github.com/user-attachments/assets/e976c5e8-7c65-46c1-a703-9784f2c228f9"">

One thing that is interesting and perhaps telling is that both the upstream and replica (running in Docker) appear to get wedged in this state:

<img width=""1367"" alt=""Screenshot 2024-09-13 at 16 17 53"" src=""https://github.com/user-attachments/assets/3d256889-14a4-456e-94d6-e56b89fb23d0"">
",
AWj8hMrcbwFLPAXUWSZ1m,2367,CVR sometimes getting updated properly on initialization,False,1726196672000.0,1726194999000.0,ieK09sy2C_AIWE8KRkrQR,"Just got this when clearing application data and reloading.

@cesara has seen this too.

```
worker=syncer pid=38000 loaded CVR @00 (25 ms)
worker=syncer pid=38000 62oupsxs => 62oupsxs: 0 changes
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i CVR (00) is behind db 62oupsxs
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 all clients up to date. no config catchup.
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i cvrVersion=00 sent 0 row patches
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i clientID=5s255ctth1l5589rh9 wsID=R9Bla78BvUTK5Qr9ksQ-q cmd=initConnection applying 6 query patches
worker=syncer pid=38000 component=view-syncer serviceID=0mrtpo7idt0o3d5a6i 
{""name"":""Error"",""message"":""CVR@00\"" does not match DB@62oupsxs"",
""stack"":""Error: CVR@00\"" does not match DB@62oupsxs\n
    at assert (file:///Users/ocean/roci/mono/packages/shared/src/asserts.ts:3:11)\n
    at ViewSyncerService.#syncQueryPipelineSet (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:435:5)\n
    at processTicksAndRejections (node:internal/process/task_queues:95:5)\n
    at async file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:134:11\n
    at async run (file:///Users/ocean/roci/mono/node_modules/@rocicorp/lock/out/lock.js:47:16)\n
    at async ViewSyncerService.run (file:///Users/ocean/roci/mono/packages/zero-cache/dist/services/view-syncer/view-syncer.ts:115:9)""}
```
",
HC7kWsm0qUYvf2BqjfiD_,2362,Replicator dies when attempting to commit its (begin concurrent) transaction while litestream has the lock,False,1726188938000.0,1726184763000.0,ieK09sy2C_AIWE8KRkrQR,"<img width=""1048"" alt=""Screenshot 2024-09-12 at 16 34 08"" src=""https://github.com/user-attachments/assets/b95390ff-7acc-4975-b2f3-19ff70dfdff1"">

Improvements, not mutually exclusive:
* Handle lock acquisition failures better
* Restart the replicator worker on failure

@cesara ",
A_5GErKdgkngmbFRyygQp,2361,LSN-order is not suitable for storage of Postgres Replication messages,False,1726276791000.0,1726184649000.0,ieK09sy2C_AIWE8KRkrQR,"The change-streamer currently uses the LSN of replication messages to sort change messages for replay. However, LSNs for messages of multiple transactions may be interleaved, and while the upstream postgres will partition out transactions while streaming them (in commit order), the LSN numbers themselves will still be interleaved, so if we try to replay them in LSN order, we'll get interleaved transactions.

<img width=""1113"" alt=""Screenshot 2024-09-12 at 17 58 21"" src=""https://github.com/user-attachments/assets/c4549ca6-ce93-4a0a-be1d-5540d9ece514"">

So we need to either:
1. figure out a different watermark scheme for ordering ChangeLog entries so that they are ordered correctly in contiguous transactions, possibly reordering them on commit, or
2. implement postgres's partitioning logic when streaming them back.

I'm guessing that (1) will be more straightforward. 

@arv FYI",
A6JEvOx1Lpj5qQgiy0_R-,2102,Sort and remove duplicates from refs,True,1722450720000.0,1722450712000.0,nqYkxAGMnzk7Y5STjZryV,"We have duplicates in the `c/<HASH>/m` keys in the kv store. These keys are also not sorted.

Removing the duplicates makes the data slightly smaller and we have less work to do even though we do cache things so we do not end up going to IDB twice.

Sorting could also potentially help with the lookup speed if IDB uses a cursor internally.",
dSHOxE86nkbGafajdd1ew,2085,UnknownError: Internal error opening backing store for indexedDB.open.,True,1722332514000.0,1722332514000.0,nqYkxAGMnzk7Y5STjZryV,"https://discord.com/channels/830183651022471199/1267770276972593162

This was a corrupted chrome user profile

But maybe we should expose these kind of errors on the Replicache instance so that the app can tell the user what is going on.

We could also fallback to MemStore in this case.",
Fv76FHJw6xEfMDZfRd0uv,2027,Presence keys not removed when room is invalidated,True,1719261305000.0,1719261305000.0,nqYkxAGMnzk7Y5STjZryV,"> another issue I've found with the presence key - when I invalidate the room using connections/rooms:invalidate the presence keys of the disconnected users are still there

Seems like we need to go through the REST endpoints and see how they impact the presence keys.",
_6cIk1pH24n6nmJ5sI6Ar,2010,Buffer tail messages during authHandler and roomStartHandler,True,1718613057000.0,1718613057000.0,nqYkxAGMnzk7Y5STjZryV,"We do not currently have a way for the `reflect tail` log to receive console log messages during the authHandler and roomStartHandler (I believe)

https://discord.com/channels/830183651022471199/1020392595450507304/1251704780196151317

I think we would need to buffer the `console.log` calls in auth and room start handler to support these to be sent to the tail client.",
oGP3NonM-zTtvcZ1ibD60,1960,TODO: Add unit tests for statement,True,1716997963000.0,1716997960000.0,nqYkxAGMnzk7Y5STjZryV,"              TODO: Add unit tests for statement

_Originally posted by @arv in https://github.com/rocicorp/mono/pull/1959#discussion_r1619128486_
            ",
