id,issueID,created,body,creatorID
0j2yr7gMiSbDoU4tij6fn,BqHDX7sPYX2E-m-JRyuGA,1715878457000.0,"Republishing unb0rks things, but they get reb0rked fairly quickly. A different error this time:

<img width=""2503"" alt=""Screenshot 2024-05-16 at 09 53 16"" src=""https://github.com/rocicorp/mono/assets/132324914/a4d60d4b-b2d6-4bf8-9a4b-f34c88ab3e6d"">

I suspect that we can only hold these transactions open for a certain time. Probably a knob in there somewhere.",darkgnotic
oh-wD1z1heLNzVsOa-cAM,BqHDX7sPYX2E-m-JRyuGA,1715878795000.0,"`show idle_in_transaction_session_timeout;` says ""1d"", although I'm seeing the timeout happen before 5 minutes.",darkgnotic
hXl1Tcp8usaqOPzoNAGkF,BqHDX7sPYX2E-m-JRyuGA,1715885392000.0,"Data point: The connection seems to close fairly consistently after 4:30 minutes of inactivity.

<img width=""1381"" alt=""Screenshot 2024-05-16 at 11 48 32"" src=""https://github.com/rocicorp/mono/assets/132324914/40b4ba9e-08e1-4b8f-bda0-694a57307976"">
",darkgnotic
je8MEyGvelCYSH78yMZUd,fSzfZOsgffkU8XWuYie6g,1715676224000.0,"<details>
<summary><a href=""https://linear.app/roci/issue/ROC-12/zeppliear-exception-because-issue-missing-properties"">ROC-12 Zeppliear: Exception because issue missing properties</a></summary>
<p>

To reproduce scroll down in Zeppliear.

[image](https://uploads.linear.app/be6d9e3c-d622-4339-b3a8-6f0d9478e889/674469ce-9dce-413c-a264-eaa5d8f8fd95/ce3d7065-a488-44ef-8731-176a21558894)

`row` is

```
{
    ""id"": ""_0kcprVNTV"",
    ""issue"": {
        ""id"": ""_0kcprVNTV"",
        ""kanbanOrder"": ""0""
    },
    ""labels"": []
}
```

but the type of `row` is supposed to be `{issue: Issue; labels: string[]};`
</p>
</details>",linear[bot]
3eVI_f1o4a5XLYNQgt3WH,fSzfZOsgffkU8XWuYie6g,1715677032000.0,"This comes from

https://github.com/rocicorp/mono/blob/a221bec5b5e6dc9e675c1ad743c39dd7113f9bdd/apps/zeppliear/frontend/app.tsx#L129

and `filteredAndOrderedQuery` comes from:

https://github.com/rocicorp/mono/blob/a221bec5b5e6dc9e675c1ad743c39dd7113f9bdd/apps/zeppliear/frontend/app.tsx#L405-L418

so it is not clear yet why the `title` is not present",arv
Jskr8GupZJx9G89ACyfp5,fSzfZOsgffkU8XWuYie6g,1715678316000.0,"IDB has:

<img width=""281"" alt=""image"" src=""https://github.com/rocicorp/mono/assets/45845/c4a63c62-dbb2-4652-9f5c-bfe5b3e8042f"">

let me check what the server sent",arv
O9ZjFWoRSH1pueiTmuzQO,fSzfZOsgffkU8XWuYie6g,1715699172000.0,"We'll need the operation to filter out partial rows from a query. This was started here: https://github.com/rocicorp/mono/tree/mlaw/filter-partial

but paused since we thought Zeppliear never diverged in what queries asked for so it wasn't a top priority for the hackfest.

It also requires schema information on the client to support `*`",tantaman
oE6mPmmTopC7LYDA4c0GG,EhVaY0SmM1SFxLt43Xq6l,1715675572000.0,"<details>
<summary><a href=""https://linear.app/roci/issue/ROC-11/limit-is-broken"">ROC-11 limit is broken</a></summary>
<p>

I was hitting this when testing Zeppliear

In Zeppliear we have a limit of 200 but we end up with a case where we get to `#limitedAddAll` where the size of the BTree is 201 (changing the limit to 10 hits a case where the data.size is 11):

[https://github.com/rocicorp/mono/blob/baff399d78101ac77813803516b06a0c84fa4209/packages/zql/src/zql/ivm/view/tree-view.ts#L142-L144](https://github.com/rocicorp/mono/blob/baff399d78101ac77813803516b06a0c84fa4209/packages/zql/src/zql/ivm/view/tree-view.ts#L142-L144)

I did some debugging and the problem seems to be that the we call tree `set` without going through the *limit function* so the tree size is larger than we expect.

[https://github.com/rocicorp/mono/blob/baff399d78101ac77813803516b06a0c84fa4209/packages/zql/src/zql/ivm/source/set-source.ts#L173-L175](https://github.com/rocicorp/mono/blob/baff399d78101ac77813803516b06a0c84fa4209/packages/zql/src/zql/ivm/source/set-source.ts#L173-L175)
</p>
</details>",linear[bot]
OYOaqck_i2PTBLvxRgKun,EhVaY0SmM1SFxLt43Xq6l,1715675726000.0,"Also, swapping the order of set and delete here seems to fix it

https://github.com/rocicorp/mono/blob/a221bec5b5e6dc9e675c1ad743c39dd7113f9bdd/packages/zql/src/zql/ivm/view/tree-view.ts#L151-L154

Which makes no sense to me! Are we mutating a shared tree somewhere?",arv
CULmRpNdKlEBL9WbTLVNG,EhVaY0SmM1SFxLt43Xq6l,1715851935000.0,#1804 ?,arv
E6nBq3QoKlsWOO6VWPj7W,EhVaY0SmM1SFxLt43Xq6l,1715855576000.0,"Do you know of a reliable repro? As you linked, I couldn't repro with those tests. I also changed the b-tree recently to use the immutable variants of add/remove/delete (#1825) which would preclude any of those mutation issues.",tantaman
MXEdDektldZpa2VpvfUf0,EhVaY0SmM1SFxLt43Xq6l,1715856096000.0,"> I did some debugging and the problem seems to be that the we call tree set without going through the limit function so the tree size is larger than we expect.

The `source` tree and `view` tree are two distinct trees.",tantaman
vfpVpIdVbVcPJ7cCGDocO,EhVaY0SmM1SFxLt43Xq6l,1715856425000.0,"I just synced main, npm i, npm run build and I still get the same error on loading zeppliear with a new ""room""",arv
LO8YjUQxwXUcgrLoeaoO_,EhVaY0SmM1SFxLt43Xq6l,1715867117000.0,taking a look,tantaman
7jQh5kAb4z1k1XN6UbKho,EhVaY0SmM1SFxLt43Xq6l,1716564431000.0,"This ended up being fixed by #1867, correct?",tantaman
Gc-56qwca54Z7tNZ-LSuJ,EhVaY0SmM1SFxLt43Xq6l,1716811485000.0,"limit is broken but in a different way #1866

I'll close this and open a new issue.

Subsumed by #1942",arv
E_12Rkuivu-oVep6Ylf92,KAJMDvkPkNX7ssqR6ijhZ,1715671154000.0,"<p><a href=""https://linear.app/roci/issue/ROC-10/type-generation-for-client-api"">ROC-10 Type Generation for Client API</a></p>",linear[bot]
42Dz7FApAylsfZl-RLn6s,l4d3GWQ4feLSHJ3MHEoM2,1715671049000.0,"<details>
<summary><a href=""https://linear.app/roci/issue/ROC-9/auth"">ROC-9 Auth</a></summary>
<p>

Right now we have a few paragraphs of text and a code block. We need to design and implement both authentication and authorization.
</p>
</details>",linear[bot]
iqkD4cdM0DFRzXmJGUaRi,TEV8ldKCbizgc7IAJurcD,1715670373000.0,"<details>
<summary><a href=""https://linear.app/roci/issue/ROC-8/test"">ROC-8 test</a></summary>
<p>

test
</p>
</details>",linear[bot]
gdoilb_Ysb-Z5wtdOaddw,TEV8ldKCbizgc7IAJurcD,1715670396000.0,test?,aboodman
Y5rdAEig9bwlzCLkBNikZ,2oVDh-xJvsIX5UFda_Qa2,1716564465000.0,fixed by https://github.com/rocicorp/mono/pull/1839,tantaman
vemlIiHhapbuJdfM85MEQ,69hisURAjfAph8bLIhLTl,1715013757000.0,I did this originally. My thought process was that an app level ping would handle more failure modes. For example it could detect deadlocks in the locking code of the do. The cf provided ping support couldn’t do that.,aboodman
eC0fjTwF5kqKa6nrH3EAv,69hisURAjfAph8bLIhLTl,1715066130000.0,Let's leave as is. It works.,arv
g44TiUPWRERdUoNRz9aLl,cXM1rl-5nWvpAmqR2oTU5,1714602151000.0,cc @tantaman ,aboodman
iUGIMjNjm6f_1yX628Tdg,cXM1rl-5nWvpAmqR2oTU5,1715192809000.0,"Started on this here: https://github.com/rocicorp/mono/tree/mlaw/filter-partial

but it stalled out since we need schema information on the client to deal with `*`. Once we have that I can resume this work.",tantaman
OezLNPssv3MMJa8GogiZy,cXM1rl-5nWvpAmqR2oTU5,1718868284000.0,We should only cache the entire row.,aboodman
2R5El1f42MpQHiGNenLEv,qFXKhttg4GG6UDqNs2Enf,1715649260000.0,"- #1803
- #1817 

Reduce still needs to be lazy on input.

Join is lazy in coming commits.",tantaman
BjQMAcGQmdzhjRDS-KBVo,6AfgoH5ICMJhe8g7Q93Nc,1714484810000.0,"Another option is to just go ahead an implement sharing of structure. In that case, joins will only run once.

We'll want to be a bit smart when cleaning up graph nodes after hitting 0 references and keep them around a bit in case a new query immediately shows up wanting a recently de-referenced node.",tantaman
DMdwtS4cGzD2-9zDx8Rbh,zA09ylXAJ5afxFeiwwXWF,1714155513000.0,"For (1) --

The current signature is:

```ts
EntityQuery<F extends FromSet, Return = []>
```

which, in practice, looks like the following when defining functions that take queries:

```ts
function applyFilter(q: EntityQuery<{
  issue: Issue,
  label: Label
}, {
  issue: Issue,
  label: Label
}[]>) {
}
```

That's... difficult to get right.

A potential fix is to modify the `EntityQuery` type to:

```ts
EntityQuery<F extends union of entities?, Return = MakeReturn<F>>
```

Which cleans up user defined functions (like the applyFilter example) to:

```ts
function applyFilter(q: EntityQuery<Issue | Label>) {
}
```

> note: `EntityQuery<Issue | Label>` instead of `EntityQuery<[Issue, Label]>` since order should not matter.

Which, I think, is pretty obvious. 

Does this fix the issue with `EntityQuery<{foo: Foo, bar: Bar}>` being assignable to `EntityQuery<{foo: Foo}>`?
We do not want to former to be assignable to the latter unless we force the user to always use qualified names in `where`, `on`, `having`. The reason is that the type system will allow unqualified selectors for the latter but the implementation will break if the type of query is really the former at runtime.",tantaman
